"";"X";"Project";"Year";"Location";"Trap";"Intervall2";"timepoint";"ID";"Intervall";"Fangtage";"species";"sex";"number";"sella_score"
"63";85;"NE";21;3;"PG";"J";"2459417";"NE.21.3.PG.J.2459417";"daily";1;"Ae. vexans";"female";2;"0"
"64";86;"NE";21;3;"PG";"J";"2459417";"NE.21.3.PG.J.2459417";"daily";1;"Cx. pipiens s.l.";"female";6;"7"
"65";87;"NE";21;3;"PG";"J";"2459422";"NE.21.3.PG.J.2459422";"daily";1;"Cx. pipiens s.l.";"female";5;"7"
"66";88;"NE";21;3;"PG";"J";"2459422";"NE.21.3.PG.J.2459422";"daily";1;"Cx. pipiens s.l.";"female";10;"0"
"67";89;"NE";21;3;"PG";"J";"2459422";"NE.21.3.PG.J.2459422";"daily";1;"Cx. spec.";"female";10;"0"
"68";90;"NE";21;3;"PG";"J";"2459422";"NE.21.3.PG.J.2459422";"daily";1;"Culicidae";"female";1;"0"
"69";91;"NE";21;3;"PR";"J";"2459416";"NE.21.3.PR.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"70";92;"NE";21;3;"PR";"J";"2459416";"NE.21.3.PR.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"71";93;"NE";21;3;"PG";"J";"2459388";"NE.21.3.PG.J.2459388";"daily";1;"Cx. pipiens s.l.";"female";10;"0"
"72";94;"NE";21;3;"PG";"J";"2459388";"NE.21.3.PG.J.2459388";"daily";1;"Cx. spec.";"female";6;"0"
"73";95;"NE";21;3;"PG";"J";"2459388";"NE.21.3.PG.J.2459388";"daily";1;"Cx. pipiens s.l.";"female";3;"7"
"74";96;"NE";21;3;"PR";"J";"2459409";"NE.21.3.PR.J.2459409";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"75";97;"NE";21;3;"PR";"J";"2459409";"NE.21.3.PR.J.2459409";"daily";1;"Cx. spec.";"female";1;"0"
"76";98;"NE";21;3;"PG";"J";"2459410";"NE.21.3.PG.J.2459410";"daily";1;"Cx. pipiens s.l.";"female";16;"0"
"77";99;"NE";21;3;"PG";"J";"2459410";"NE.21.3.PG.J.2459410";"daily";1;"Cx. spec.";"female";2;"0"
"78";100;"NE";21;3;"PG";"J";"2459410";"NE.21.3.PG.J.2459410";"daily";1;"Ae. caspius";"female";1;"0"
"79";101;"NE";21;3;"PG";"J";"2459410";"NE.21.3.PG.J.2459410";"daily";1;"Culicidae";"female";1;"0"
"80";102;"NE";21;3;"PR";"J";"2459381";"NE.21.3.PR.J.2459381";"daily";1;"Ae. caspius";"female";1;"0"
"81";103;"NE";21;3;"PG";"J";"2459415";"NE.21.3.PG.J.2459415";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"82";104;"NE";21;3;"PG";"J";"2459415";"NE.21.3.PG.J.2459415";"daily";1;"Cx. pipiens s.l.";"female";5;"0"
"83";105;"NE";21;3;"PG";"J";"2459415";"NE.21.3.PG.J.2459415";"daily";1;"Cx. spec.";"female";5;"0"
"84";106;"NE";21;3;"PG";"J";"2459415";"NE.21.3.PG.J.2459415";"daily";1;"Ae. sticticus";"female";1;"0"
"85";107;"NE";21;3;"PG";"J";"2459418";"NE.21.3.PG.J.2459418";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"86";108;"NE";21;3;"PG";"J";"2459418";"NE.21.3.PG.J.2459418";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"87";109;"NE";21;3;"PG";"J";"2459418";"NE.21.3.PG.J.2459418";"daily";1;"Cx. pipiens s.l.";"female";12;"0"
"88";110;"NE";21;3;"PG";"J";"2459418";"NE.21.3.PG.J.2459418";"daily";1;"Cx. spec.";"female";9;"0"
"89";111;"NE";21;3;"PG";"J";"2459418";"NE.21.3.PG.J.2459418";"daily";1;"Ae. vexans";"female";2;"0"
"90";112;"NE";21;3;"PG";"J";"2459418";"NE.21.3.PG.J.2459418";"daily";1;"Cx. pipiens s.l.";"female";10;"7"
"91";113;"NE";21;3;"PR";"J";"2459418";"NE.21.3.PR.J.2459418";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"92";114;"NE";21;3;"PR";"J";"2459418";"NE.21.3.PR.J.2459418";"daily";1;"Cx. spec.";"female";2;"0"
"93";115;"NE";21;3;"PR";"J";"2459415";"NE.21.3.PR.J.2459415";"daily";1;"Cx. pipiens s.l.";"female";4;"0"
"94";116;"NE";21;3;"PG";"J";"2459405";"NE.21.3.PG.J.2459405";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"95";117;"NE";21;3;"PG";"J";"2459405";"NE.21.3.PG.J.2459405";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"96";118;"NE";21;3;"PG";"J";"2459405";"NE.21.3.PG.J.2459405";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"97";119;"NE";21;3;"PG";"J";"2459405";"NE.21.3.PG.J.2459405";"daily";3;"Cx. spec.";"female";22;"0"
"98";120;"NE";21;3;"PG";"J";"2459405";"NE.21.3.PG.J.2459405";"daily";3;"Cx. pipiens s.l.";"female";20;"7"
"99";121;"NE";21;3;"PG";"J";"2459405";"NE.21.3.PG.J.2459405";"daily";3;"Ae. caspius";"female";1;"0"
"100";122;"NE";21;3;"PG";"J";"2459377";"NE.21.3.PG.J.2459377";"daily";3;"Cx. pipiens s.l.";"female";3;"0"
"101";123;"NE";21;3;"PG";"J";"2459377";"NE.21.3.PG.J.2459377";"daily";3;"Cx. spec.";"female";3;"0"
"102";124;"NE";21;3;"PG";"J";"2459377";"NE.21.3.PG.J.2459377";"daily";3;"Cx. pipiens s.l.";"female";1;"7"
"103";125;"NE";21;3;"PR";"J";"2459410";"NE.21.3.PR.J.2459410";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"104";126;"NE";21;3;"PR";"J";"2459429";"NE.21.3.PR.J.2459429";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"105";127;"NE";21;3;"PR";"J";"2459429";"NE.21.3.PR.J.2459429";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"106";128;"NE";21;3;"PG";"J";"2459408";"NE.21.3.PG.J.2459408";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"107";129;"NE";21;3;"PG";"J";"2459408";"NE.21.3.PG.J.2459408";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"108";130;"NE";21;3;"PR";"J";"2459408";"NE.21.3.PR.J.2459408";"daily";1;"Cx. pipiens s.l.";"female";16;"0"
"109";131;"NE";21;3;"PR";"J";"2459408";"NE.21.3.PR.J.2459408";"daily";1;"Cx. spec.";"female";8;"0"
"110";132;"NE";21;3;"PR";"J";"2459408";"NE.21.3.PR.J.2459408";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"111";133;"NE";21;3;"PR";"J";"2459405";"NE.21.3.PR.J.2459405";"daily";3;"Cx. pipiens s.l.";"female";15;"0"
"112";134;"NE";21;3;"PG";"J";"2459429";"NE.21.3.PG.J.2459429";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"113";135;"NE";21;3;"PG";"J";"2459429";"NE.21.3.PG.J.2459429";"daily";1;"Cx. pipiens s.l.";"female";14;"0"
"114";136;"NE";21;3;"PG";"J";"2459429";"NE.21.3.PG.J.2459429";"daily";1;"Cx. spec.";"female";9;"0"
"115";137;"NE";21;3;"PG";"J";"2459429";"NE.21.3.PG.J.2459429";"daily";1;"Culicidae";"female";3;"0"
"116";138;"NE";21;3;"PG";"J";"2459429";"NE.21.3.PG.J.2459429";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"117";139;"NE";21;3;"PR";"J";"2459377";"NE.21.3.PR.J.2459377";"daily";3;"0";"0";0;"0"
"118";140;"NE";21;3;"PR";"J";"2459413";"NE.21.3.PR.J.2459413";"daily";3;"Cx. pipiens s.l.";"female";15;"0"
"119";141;"NE";21;3;"PR";"J";"2459413";"NE.21.3.PR.J.2459413";"daily";3;"Cx. spec.";"female";5;"0"
"120";142;"NE";21;3;"PR";"J";"2459413";"NE.21.3.PR.J.2459413";"daily";3;"Cx. pipiens s.l.";"female";5;"7"
"121";143;"NE";21;3;"PG";"J";"2459423";"NE.21.3.PG.J.2459423";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"122";144;"NE";21;3;"PG";"J";"2459423";"NE.21.3.PG.J.2459423";"daily";1;"Cx. pipiens s.l.";"female";5;"0"
"123";145;"NE";21;3;"PG";"J";"2459423";"NE.21.3.PG.J.2459423";"daily";1;"Cx. spec.";"female";13;"0"
"124";146;"NE";21;3;"PG";"J";"2459423";"NE.21.3.PG.J.2459423";"daily";1;"Cx. pipiens s.l.";"female";8;"7"
"125";147;"NE";21;3;"PR";"J";"2459419";"NE.21.3.PR.J.2459419";"daily";3;"Cx. pipiens s.l.";"female";18;"0"
"126";148;"NE";21;3;"PR";"J";"2459419";"NE.21.3.PR.J.2459419";"daily";3;"Cx. spec.";"female";1;"0"
"127";149;"NE";21;3;"PG";"J";"2459409";"NE.21.3.PG.J.2459409";"daily";1;"Cx. pipiens s.l.";"female";17;"0"
"128";150;"NE";21;3;"PG";"J";"2459409";"NE.21.3.PG.J.2459409";"daily";1;"Cx. spec.";"female";8;"0"
"129";151;"NE";21;3;"PG";"J";"2459409";"NE.21.3.PG.J.2459409";"daily";1;"Ae. caspius";"female";1;"0"
"130";152;"NE";21;3;"PG";"J";"2459409";"NE.21.3.PG.J.2459409";"daily";1;"Cx. pipiens s.l.";"female";11;"7"
"131";153;"NE";21;3;"PR";"J";"2459411";"NE.21.3.PR.J.2459411";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"132";154;"NE";21;3;"PG";"J";"2459411";"NE.21.3.PG.J.2459411";"daily";1;"Cx. pipiens s.l.";"female";15;"0"
"133";155;"NE";21;3;"PG";"J";"2459411";"NE.21.3.PG.J.2459411";"daily";1;"Cx. spec.";"female";4;"0"
"134";156;"NE";21;3;"PG";"J";"2459411";"NE.21.3.PG.J.2459411";"daily";1;"Cx. pipiens s.l.";"female";4;"7"
"135";157;"NE";21;3;"PG";"J";"2459390";"NE.21.3.PG.J.2459390";"daily";1;"Cx. pipiens s.l.";"female";13;"0"
"136";158;"NE";21;3;"PG";"J";"2459390";"NE.21.3.PG.J.2459390";"daily";1;"Cx. spec.";"female";6;"0"
"137";159;"NE";21;3;"PG";"J";"2459390";"NE.21.3.PG.J.2459390";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"138";160;"NE";21;3;"PG";"J";"2459390";"NE.21.3.PG.J.2459390";"daily";1;"Cs. annulata";"female";5;"0"
"139";161;"NE";21;3;"PG";"J";"2459390";"NE.21.3.PG.J.2459390";"daily";1;"Ae. annulipes s.l.";"female";1;"0"
"140";162;"NE";21;3;"PR";"J";"2459417";"NE.21.3.PR.J.2459417";"daily";1;"Cx. pipiens s.l.";"female";4;"0"
"141";163;"NE";21;3;"PR";"J";"2459417";"NE.21.3.PR.J.2459417";"daily";1;"Ae. caspius";"female";1;"0"
"142";164;"NE";21;3;"PG";"J";"2459416";"NE.21.3.PG.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"143";165;"NE";21;3;"PG";"J";"2459416";"NE.21.3.PG.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";16;"0"
"144";166;"NE";21;3;"PG";"J";"2459416";"NE.21.3.PG.J.2459416";"daily";1;"Cx. spec.";"female";8;"0"
"145";167;"NE";21;3;"PG";"J";"2459416";"NE.21.3.PG.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"146";168;"NE";21;3;"PR";"J";"2459431";"NE.21.3.PR.J.2459431";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"147";169;"NE";21;3;"PR";"J";"2459431";"NE.21.3.PR.J.2459431";"daily";1;"Cx. spec.";"female";1;"0"
"148";170;"NE";21;3;"PR";"J";"2459431";"NE.21.3.PR.J.2459431";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"149";171;"NE";21;3;"PG";"J";"2459416";"NE.21.3.PG.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";23;"0"
"150";172;"NE";21;3;"PG";"J";"2459416";"NE.21.3.PG.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"151";173;"NE";21;3;"PR";"J";"2459382";"NE.21.3.PR.J.2459382";"daily";1;"Cx. spec.";"female";1;"0"
"152";174;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"153";175;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"154";176;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"155";177;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"156";178;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"157";179;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";13;"0"
"158";180;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. spec.";"female";12;"0"
"159";181;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Culicidae";"female";2;"0"
"160";182;"NE";21;3;"PG";"J";"2459430";"NE.21.3.PG.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";10;"7"
"161";183;"NE";21;3;"PR";"J";"2459422";"NE.21.3.PR.J.2459422";"daily";1;"0";"0";0;"0"
"162";184;"NE";21;3;"PR";"J";"2459430";"NE.21.3.PR.J.2459430";"daily";1;"Cx. pipiens s.l.";"female";10;"0"
"163";185;"NE";21;3;"PR";"J";"2459430";"NE.21.3.PR.J.2459430";"daily";1;"Cx. spec.";"female";3;"0"
"164";186;"NE";21;3;"PR";"J";"2459423";"NE.21.3.PR.J.2459423";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"165";187;"NE";21;3;"PR";"J";"2459423";"NE.21.3.PR.J.2459423";"daily";1;"Cx. spec.";"female";1;"0"
"166";188;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"167";189;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"168";190;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. pipiens s.l.";"female";25;"7"
"169";191;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"170";192;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. spec.";"female";25;"0"
"171";193;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. pipiens s.l.";"female";3;"0"
"172";194;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. spec.";"female";6;"0"
"173";195;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Culicidae";"female";5;"0"
"174";196;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Cx. pipiens s.l.";"female";18;"7"
"175";197;"NE";21;3;"PG";"J";"2459419";"NE.21.3.PG.J.2459419";"daily";3;"Ae. vexans";"female";1;"0"
"176";198;"NE";21;3;"PR";"J";"2459467";"NE.21.3.PR.J.2459467";"daily";1;"Cx. pipiens s.l.";"female";4;"0"
"177";199;"NE";21;3;"PR";"J";"2459467";"NE.21.3.PR.J.2459467";"daily";1;"Cx. spec.";"female";1;"0"
"178";200;"NE";21;3;"PR";"J";"2459467";"NE.21.3.PR.J.2459467";"daily";1;"Cx. pipiens s.l.";"female";8;"7"
"179";201;"NE";21;3;"PG";"J";"2459486";"NE.21.3.PG.J.2459486";"daily";3;"Cx. pipiens s.l.";"female";1;"0"
"180";202;"NE";21;3;"PR";"J";"2459486";"NE.21.3.PR.J.2459486";"daily";3;"0";"0";0;"0"
"181";203;"NE";21;3;"PR";"J";"2459465";"NE.21.3.PR.J.2459465";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"182";204;"NE";21;3;"PR";"J";"2459465";"NE.21.3.PR.J.2459465";"daily";1;"Cx. spec.";"female";7;"0"
"183";205;"NE";21;3;"PR";"J";"2459465";"NE.21.3.PR.J.2459465";"daily";1;"Cx. pipiens s.l.";"female";5;"7"
"184";206;"NE";21;3;"PR";"J";"2459465";"NE.21.3.PR.J.2459465";"daily";1;"Ae. vexans";"female";1;"0"
"185";207;"NE";21;3;"PG";"J";"2459465";"NE.21.3.PG.J.2459465";"daily";1;"Cx. pipiens s.l.";"female";14;"0"
"186";208;"NE";21;3;"PG";"J";"2459465";"NE.21.3.PG.J.2459465";"daily";1;"Cx. spec.";"female";25;"0"
"187";209;"NE";21;3;"PG";"J";"2459465";"NE.21.3.PG.J.2459465";"daily";1;"Culicidae";"female";5;"0"
"188";210;"NE";21;3;"PG";"J";"2459465";"NE.21.3.PG.J.2459465";"daily";1;"Cx. pipiens s.l.";"female";5;"7"
"189";211;"NE";21;3;"PR";"J";"2459466";"NE.21.3.PR.J.2459466";"daily";1;"Cx. pipiens s.l.";"female";14;"0"
"190";212;"NE";21;3;"PR";"J";"2459466";"NE.21.3.PR.J.2459466";"daily";1;"Cx. spec.";"female";5;"0"
"191";213;"NE";21;3;"PR";"J";"2459466";"NE.21.3.PR.J.2459466";"daily";1;"Cx. pipiens s.l.";"female";4;"7"
"192";214;"NE";21;3;"PR";"J";"2459433";"NE.21.3.PR.J.2459433";"daily";3;"Cx. pipiens s.l.";"female";18;"0"
"193";215;"NE";21;3;"PR";"J";"2459433";"NE.21.3.PR.J.2459433";"daily";3;"Cx. spec.";"female";1;"0"
"194";216;"NE";21;3;"PR";"J";"2459433";"NE.21.3.PR.J.2459433";"daily";3;"Cx. pipiens s.l.";"female";2;"7"
"195";217;"NE";21;3;"PR";"J";"2459433";"NE.21.3.PR.J.2459433";"daily";3;"Ae. vexans";"female";4;"0"
"196";218;"NE";21;3;"PG";"J";"2459489";"NE.21.3.PG.J.2459489";"daily";10;"Cx. pipiens s.l.";"female";7;"0"
"197";219;"NE";21;3;"PG";"J";"2459489";"NE.21.3.PG.J.2459489";"daily";10;"Cx. spec.";"female";7;"0"
"198";220;"NE";21;3;"PG";"J";"2459489";"NE.21.3.PG.J.2459489";"daily";10;"Cx. pipiens s.l.";"female";1;"7"
"199";221;"NE";21;3;"PG";"J";"2459482";"NE.21.3.PG.J.2459482";"daily";4;"Cx. pipiens s.l.";"female";25;"0"
"200";222;"NE";21;3;"PG";"J";"2459482";"NE.21.3.PG.J.2459482";"daily";4;"Cx. pipiens s.l.";"female";4;"0"
"201";223;"NE";21;3;"PG";"J";"2459482";"NE.21.3.PG.J.2459482";"daily";4;"Cx. spec.";"female";25;"0"
"202";224;"NE";21;3;"PG";"J";"2459482";"NE.21.3.PG.J.2459482";"daily";4;"Cx. spec.";"female";13;"0"
"203";225;"NE";21;3;"PG";"J";"2459482";"NE.21.3.PG.J.2459482";"daily";4;"Culicidae";"female";8;"0"
